scenario,row_arm,seed,budget_multiplier,kernel_weight,leverage,leverage_gain,leverage_relative_gain
diabetes_hist_gradient_boosting,D0_full_rows,11,2.0,0.25721049807187746,0.16610426347287832,0.09110623459899914,0.3542088494908147
diabetes_hist_gradient_boosting,D0_full_rows,11,4.0,0.05293354486438041,0.06522438900552244,-0.01229084414114203,-0.23219386067251055
diabetes_hist_gradient_boosting,D0_full_rows,11,8.0,0.03566069938019215,0.03190425385646792,0.0037564455237242347,0.10533852641742535
diabetes_hist_gradient_boosting,D0_full_rows,11,16.0,0.010614185464004573,0.010746290978952458,-0.0001321055149478851,-0.012446128381295843
diabetes_hist_gradient_boosting,D0_full_rows,29,2.0,0.291846526069279,0.10573788874876434,0.1861086373205147,0.6376935159280803
diabetes_hist_gradient_boosting,D0_full_rows,29,4.0,0.08065500332790371,0.05702407832823373,0.023630924999669976,0.29298771340443963
diabetes_hist_gradient_boosting,D0_full_rows,29,8.0,0.04225115776345766,0.045049112778808256,-0.0027979550153505936,-0.06622197268569287
diabetes_hist_gradient_boosting,D0_full_rows,29,16.0,0.01801308926801562,0.025519077754823153,-0.007505988486807533,-0.41669634648040677
diabetes_hist_gradient_boosting,D0_full_rows,47,2.0,0.6824139403219497,0.4427159163097469,0.2396980240122028,0.3512501867988188
diabetes_hist_gradient_boosting,D0_full_rows,47,4.0,0.11330958632223617,0.18622560074664135,-0.07291601442440518,-0.6435114343904011
diabetes_hist_gradient_boosting,D0_full_rows,47,8.0,0.09144355877284059,0.10782969904050542,-0.016386140267664828,-0.17919403496063008
diabetes_hist_gradient_boosting,D0_full_rows,47,16.0,0.03007014682297745,0.0493540383855033,-0.01928389156252585,-0.6412968874428802
diabetes_hist_gradient_boosting,D0_full_rows,71,2.0,0.1509459016440128,0.33545615512795285,-0.18451025348394004,-1.2223601401188393
diabetes_hist_gradient_boosting,D0_full_rows,71,4.0,0.04597229553055892,0.11578909276210259,-0.06981679723154366,-1.5186711132389443
diabetes_hist_gradient_boosting,D0_full_rows,71,8.0,0.060178720828752086,0.07703096206374556,-0.016852241234993473,-0.28003654785134346
diabetes_hist_gradient_boosting,D0_full_rows,71,16.0,0.040411355390251945,0.0312914563052786,0.009119899084973342,0.22567664451990269
diabetes_hist_gradient_boosting,D0_full_rows,101,2.0,0.1850556568023859,0.1399736677054088,0.04508198909697708,0.24361313712835309
diabetes_hist_gradient_boosting,D0_full_rows,101,4.0,0.06244839549340708,0.33034298106963145,-0.26789458557622436,-4.289855383146025
diabetes_hist_gradient_boosting,D0_full_rows,101,8.0,0.039173046426735934,0.041370384571627714,-0.002197338144891779,-0.056093113641324494
diabetes_hist_gradient_boosting,D0_full_rows,101,16.0,0.027909320911590874,0.024712959206815956,0.0031963617047749172,0.1145266742569667
diabetes_hist_gradient_boosting,D0_full_rows,127,2.0,0.18317169832954297,0.09054796990715747,0.0926237284223855,0.5056661551270152
diabetes_hist_gradient_boosting,D0_full_rows,127,4.0,0.0450680887485832,0.06460412455433387,-0.019536035805750668,-0.43347824032952403
diabetes_hist_gradient_boosting,D0_full_rows,127,8.0,0.043643665222538076,0.05264552630857053,-0.009001861086032452,-0.20625813712327237
diabetes_hist_gradient_boosting,D0_full_rows,127,16.0,0.021984622491113406,0.0310549030597959,-0.009070280568682493,-0.4125738603129924
diabetes_hist_gradient_boosting,D0_full_rows,151,2.0,0.13465968069816298,0.13937244254238498,-0.004712761844222008,-0.034997571803141066
diabetes_hist_gradient_boosting,D0_full_rows,151,4.0,0.10556515753458794,0.13250014265127416,-0.026934985116686225,-0.25515033317561336
diabetes_hist_gradient_boosting,D0_full_rows,151,8.0,0.08040742627059683,0.09343745300070516,-0.013030026730108335,-0.16205004107777443
diabetes_hist_gradient_boosting,D0_full_rows,151,16.0,0.049609546844760044,0.03062472530802536,0.018984821536734683,0.3826848408057961
diabetes_hist_gradient_boosting,D0_full_rows,181,2.0,0.3451258426597353,0.11588101052915997,0.2292448321305753,0.6642354868701942
diabetes_hist_gradient_boosting,D0_full_rows,181,4.0,0.11050989205389943,0.09534053619889173,0.015169355855007699,0.13726695025282523
diabetes_hist_gradient_boosting,D0_full_rows,181,8.0,0.03763516149058865,0.07980325121294145,-0.042168089722352795,-1.1204439692094235
diabetes_hist_gradient_boosting,D0_full_rows,181,16.0,0.022002746127963293,0.043068580802383245,-0.021065834674419952,-0.9574184309497341
diabetes_hist_gradient_boosting,D0_full_rows,211,2.0,0.2608758921235608,0.37215649696278313,-0.11128060483922231,-0.4265653063354568
diabetes_hist_gradient_boosting,D0_full_rows,211,4.0,0.1463244833866832,0.08752997238960829,0.0587945109970749,0.40180911380156437
diabetes_hist_gradient_boosting,D0_full_rows,211,8.0,0.05652137623283295,0.051724247793885014,0.004797128438947938,0.08487281730697338
diabetes_hist_gradient_boosting,D0_full_rows,211,16.0,0.048209693913007966,0.02436138138722569,0.023848312525782275,0.4946787791022981
diabetes_hist_gradient_boosting,D0_full_rows,241,2.0,0.12327987078286036,0.3633531064443362,-0.24007323566147587,-1.9473839008505298
diabetes_hist_gradient_boosting,D0_full_rows,241,4.0,0.03062871166833015,0.038460642274640244,-0.007831930606310093,-0.2557055187668324
diabetes_hist_gradient_boosting,D0_full_rows,241,8.0,0.009523401335200356,0.019272463257782427,-0.009749061922582071,-1.023695377254304
diabetes_hist_gradient_boosting,D0_full_rows,241,16.0,0.015610510920540936,0.010743611452975177,0.00486689946756576,0.3117706712060076
diabetes_hist_gradient_boosting,D0_full_rows,271,2.0,0.3866494795272546,0.04709892244761932,0.3395505570796353,0.8781870274202727
diabetes_hist_gradient_boosting,D0_full_rows,271,4.0,0.036048102113649116,0.029410453951241797,0.00663764816240732,0.18413308255399294
diabetes_hist_gradient_boosting,D0_full_rows,271,8.0,0.015868757215009667,0.018727104708696065,-0.002858347493686398,-0.18012421861132222
diabetes_hist_gradient_boosting,D0_full_rows,271,16.0,0.01657604773440547,0.012316983831849754,0.004259063902555716,0.2569408565176574
diabetes_hist_gradient_boosting,D0_full_rows,307,2.0,0.15524664103112393,0.121498255058322,0.03374838597280193,0.2173856113642809
diabetes_hist_gradient_boosting,D0_full_rows,307,4.0,0.06074326944153303,0.08372550200002381,-0.02298223255849078,-0.37835027270983124
diabetes_hist_gradient_boosting,D0_full_rows,307,8.0,0.036672723395410715,0.04023891283196736,-0.0035661894365566424,-0.09724364885872973
diabetes_hist_gradient_boosting,D0_full_rows,307,16.0,0.01701691700536021,0.014157055094516893,0.002859861910843319,0.16805993176922016
diabetes_hist_gradient_boosting,D0_full_rows,337,2.0,0.507570495171771,0.2843844021872195,0.2231860929845515,0.4397144733738341
diabetes_hist_gradient_boosting,D0_full_rows,337,4.0,0.1324524215313182,0.11246226244682611,0.019990159084492087,0.15092331913135648
diabetes_hist_gradient_boosting,D0_full_rows,337,8.0,0.0463285083586758,0.056465180703737204,-0.010136672345061402,-0.21879988594891028
diabetes_hist_gradient_boosting,D0_full_rows,337,16.0,0.036492834168792745,0.03282073298276633,0.0036721011860264136,0.10062526711522592
diabetes_hist_gradient_boosting,D0_full_rows,367,2.0,0.5302599780626036,0.13768058454406643,0.3925793935185372,0.7403526755930059
diabetes_hist_gradient_boosting,D0_full_rows,367,4.0,0.03494963982858139,0.03649757495843934,-0.001547935129857951,-0.04429044583721486
diabetes_hist_gradient_boosting,D0_full_rows,367,8.0,0.028029657888267355,0.021239036281040603,0.006790621607226752,0.24226559005092843
diabetes_hist_gradient_boosting,D0_full_rows,367,16.0,0.012218625856063798,0.018494250161058438,-0.006275624304994639,-0.5136112995783567
diabetes_hist_gradient_boosting,D0_full_rows,397,2.0,0.18885081974693477,0.6706090831812399,-0.48175826343430517,-2.55099905883318
diabetes_hist_gradient_boosting,D0_full_rows,397,4.0,0.0615037255159557,0.08834179986770765,-0.026838074351751957,-0.43636501897416685
diabetes_hist_gradient_boosting,D0_full_rows,397,8.0,0.025452560902447463,0.019488193834102992,0.005964367068344471,0.234332690184073
diabetes_hist_gradient_boosting,D0_full_rows,397,16.0,0.0174371302317028,0.01948817147420021,-0.0020510412424974075,-0.11762493112360702
diabetes_hist_gradient_boosting,D0_full_rows,431,2.0,0.38187368082407463,0.08118888236647431,0.3006847984576003,0.787393354285976
diabetes_hist_gradient_boosting,D0_full_rows,431,4.0,0.04811744599537031,0.09117482796103525,-0.04305738196566494,-0.8948393056815146
diabetes_hist_gradient_boosting,D0_full_rows,431,8.0,0.031194883946492048,0.035061885364317556,-0.0038670014178255087,-0.12396268004902657
diabetes_hist_gradient_boosting,D0_full_rows,431,16.0,0.015640412712057426,0.022982083984357173,-0.007341671272299746,-0.4694039350150871
diabetes_hist_gradient_boosting,D0_full_rows,461,2.0,0.15750796487390747,0.2192538935478521,-0.06174592867394463,-0.3920178177870252
diabetes_hist_gradient_boosting,D0_full_rows,461,4.0,0.08416583491387981,0.06836176513931294,0.015804069774566873,0.18777298164674439
diabetes_hist_gradient_boosting,D0_full_rows,461,8.0,0.03401489254742167,0.031102894405995465,0.002911998141426203,0.08560950581767846
diabetes_hist_gradient_boosting,D0_full_rows,461,16.0,0.013875562481793205,0.022624468184492,-0.008748905702698795,-0.6305262013110211
diabetes_hist_gradient_boosting,D0_full_rows,491,2.0,0.3429791160181645,0.15390092157309876,0.18907819444506574,0.5512819457936091
diabetes_hist_gradient_boosting,D0_full_rows,491,4.0,0.10478710575527055,0.07346770635747839,0.03131939939779216,0.298886004838595
diabetes_hist_gradient_boosting,D0_full_rows,491,8.0,0.0536619069407635,0.048992465888608484,0.004669441052155013,0.08701593585389227
diabetes_hist_gradient_boosting,D0_full_rows,491,16.0,0.03567174248415607,0.02690088876745259,0.00877085371670348,0.24587679507383567
diabetes_hist_gradient_boosting,D0_full_rows,521,2.0,0.22908548036079293,0.333287200120644,-0.10420171975985107,-0.45485955546262014
diabetes_hist_gradient_boosting,D0_full_rows,521,4.0,0.05247988665246373,0.0869540402508271,-0.03447415359836337,-0.656902211444562
diabetes_hist_gradient_boosting,D0_full_rows,521,8.0,0.048525095288767306,0.040804792564549705,0.007720302724217601,0.15909917699851922
diabetes_hist_gradient_boosting,D0_full_rows,521,16.0,0.023285465669481083,0.020133039294055757,0.003152426375425326,0.13538171923085177
diabetes_hist_gradient_boosting,D0_full_rows,557,2.0,0.14128762430744726,0.2133986249911985,-0.07211100068375123,-0.5103844093721538
diabetes_hist_gradient_boosting,D0_full_rows,557,4.0,0.18189085230164073,0.1612554194294585,0.020635432872182224,0.11344953641737421
diabetes_hist_gradient_boosting,D0_full_rows,557,8.0,0.057313849350399425,0.05602789690290748,0.0012859524474919462,0.022437028084259784
diabetes_hist_gradient_boosting,D0_full_rows,557,16.0,0.026291914127432717,0.03184276554585322,-0.005550851418420502,-0.21112389883507188
