run_key,status,scenario,row_arm,seed,budget_multiplier,requested_model_evaluations,model_evaluations,coalition_policy,shap_mse,shap_relative_l2_error,full_kernel_loss,full_kernel_excess_loss,efficiency_residual,condition_number,explanation_drift_vs_full_rows,downstream_rmse,row_gram_relative_error,row_budget_exact,runtime_seconds
synthetic_interaction|not_applicable|seed=11|budget=2|kernel_weight,completed,synthetic_interaction,not_applicable,11,2.0,20,20,kernel_weight,0.05678858024691367,0.19012247286389833,0.8682469135802482,0.0567885802469148,3.552713678800501e-15,3.2385806044270136e+18,0.0,,,True,0.00258889999895473
synthetic_interaction|not_applicable|seed=11|budget=2|leverage,completed,synthetic_interaction,not_applicable,11,2.0,20,20,leverage,0.42097056527393717,0.5176411746905327,1.2324288986072751,0.4209705652739417,1.4210854715202004e-14,7.0914149586449944e+16,0.0,,,True,0.0029567999990831595
synthetic_interaction|not_applicable|seed=11|budget=4|kernel_weight,completed,synthetic_interaction,not_applicable,11,4.0,40,40,kernel_weight,0.015220846405093122,0.09842883629331711,0.8266791797384261,0.015220846405092692,8.881784197001252e-16,3.666271416587111e+16,0.0,,,True,0.002571200002421392
synthetic_interaction|not_applicable|seed=11|budget=4|leverage,completed,synthetic_interaction,not_applicable,11,4.0,40,40,leverage,0.02923107445330498,0.1364034448067972,0.8406894077866387,0.029231074453305306,1.7763568394002505e-15,2.1384188899810422e+17,0.0,,,True,0.0030825000030745286
synthetic_interaction|not_applicable|seed=11|budget=8|kernel_weight,completed,synthetic_interaction,not_applicable,11,8.0,80,80,kernel_weight,0.0019296642053279387,0.035046432747993246,0.8133879975386626,0.0019296642053292512,3.552713678800501e-15,2.514873962750362e+16,0.0,,,True,0.002780200000415789
synthetic_interaction|not_applicable|seed=11|budget=8|leverage,completed,synthetic_interaction,not_applicable,11,8.0,80,80,leverage,0.001571360350229591,0.03162575076635427,0.8130296936835624,0.0015713603502289786,1.7763568394002505e-15,7.218067901954202e+16,0.0,,,True,0.0028683000018645544
synthetic_interaction|not_applicable|seed=11|budget=16|kernel_weight,completed,synthetic_interaction,not_applicable,11,16.0,160,160,kernel_weight,0.0006570905131431803,0.020451047024814144,0.8121154238464758,0.0006570905131424443,1.7763568394002505e-15,4.597162251312651e+16,0.0,,,True,0.002870100001018727
synthetic_interaction|not_applicable|seed=11|budget=16|leverage,completed,synthetic_interaction,not_applicable,11,16.0,160,160,leverage,0.0013835965125758823,0.02967615823873093,0.8128419298459092,0.001383596512575802,0.0,2.9073164009142724e+16,0.0,,,True,0.003083799998421455
synthetic_threshold|not_applicable|seed=11|budget=2|kernel_weight,completed,synthetic_threshold,not_applicable,11,2.0,20,20,kernel_weight,0.02279541956550605,0.39457906823781774,0.06180573868278074,0.022795419565506042,2.220446049250313e-16,3.2385806044270136e+18,0.0,,,True,0.0023881999986770097
synthetic_threshold|not_applicable|seed=11|budget=2|leverage,completed,synthetic_threshold,not_applicable,11,2.0,20,20,leverage,0.14758872634280082,1.0040072302062641,0.18659904546007589,0.14758872634280118,1.0658141036401503e-14,7.0914149586449944e+16,0.0,,,True,0.0024530999980925117
