scenario,row_arm,coalition_policy,budget_multiplier,median_relative_error,mean_relative_error,worst_relative_error,median_efficiency_residual,median_runtime_seconds,median_downstream_rmse,median_explanation_drift,median_row_gram_error
diabetes_hist_gradient_boosting,D0_full_rows,kernel_weight,2.0,0.24314798921633518,0.2817948393713721,0.6824139403219497,5.684341886080802e-14,0.009742349999214639,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,leverage,2.0,0.16000259252298854,0.22667998438841538,0.6706090831812399,5.3290705182007514e-14,0.009704349999083206,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,kernel_weight,4.0,0.06197606050468139,0.07952767214901164,0.18189085230164073,3.552713678800501e-14,0.009657950000473647,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,leverage,4.0,0.0872420063202177,0.10023464561716153,0.33034298106963145,2.4868995751603507e-14,0.010033950000433833,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,kernel_weight,8.0,0.0407121020950968,0.043675052477869514,0.09144355877284059,2.842170943040401e-14,0.009966600000552717,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,leverage,8.0,0.043209748675217985,0.04841078586854812,0.10782969904050542,2.842170943040401e-14,0.010159850000491133,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,kernel_weight,16.0,0.02199368430953835,0.02494709353127358,0.049609546844760044,2.842170943040401e-14,0.010202649998973357,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D0_full_rows,leverage,16.0,0.02453717029702082,0.02516187319811906,0.0493540383855033,1.4210854715202004e-14,0.01119710000057239,58.55543047804582,0.0,0.0
diabetes_hist_gradient_boosting,D1_uniform_rows,kernel_weight,2.0,0.12657854936183105,0.2091928849177685,0.6696956806412946,5.684341886080802e-14,0.009991799999625073,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,leverage,2.0,0.07678870125908079,0.15757212917568114,0.7128144497406512,4.796163466380676e-14,0.009780700000192155,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,kernel_weight,4.0,1.273222160751631e-15,0.0005737606819280012,0.0075440647323574426,1.4210854715202004e-14,0.00982780000049388,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,leverage,4.0,1.5584774073249292e-15,0.02435945354611145,0.46882364780022023,2.842170943040401e-14,0.009471499999563093,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,kernel_weight,8.0,1.1562255361749025e-15,0.00040240534595557776,0.006325766515041412,2.842170943040401e-14,0.009235450001142453,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,leverage,8.0,1.2868268661930226e-15,0.0003500411652706284,0.004519658296862116,2.842170943040401e-14,0.00981829999909678,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,kernel_weight,16.0,1.1716663509282637e-15,0.00020301435461669653,0.0030359357033152875,2.3092638912203256e-14,0.009964200000467827,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D1_uniform_rows,leverage,16.0,1.0698374041414714e-15,0.00023130380322453924,0.00385127117841965,1.7763568394002505e-14,0.010775750000902917,62.152419317789025,0.7546437001937725,0.19396079577485106
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,kernel_weight,2.0,0.048546900156507325,0.1433967395781344,0.6633228815612598,5.684341886080802e-14,0.009334000000308151,60.856492873193865,0.7409874511139705,0.1885217012434418
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,leverage,2.0,0.1735726117836025,0.18431602474910175,0.6474641473796412,5.3290705182007514e-14,0.010185700000874931,60.856492873193865,0.7409874511139705,0.1885217012434418
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,kernel_weight,4.0,1.3007351651873783e-15,0.0016905570059225785,0.009396470736100702,2.842170943040401e-14,0.009670049999840558,60.856492873193865,0.7409874511139705,0.1885217012434418
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,leverage,4.0,1.6905061450880312e-15,0.02834287712284957,0.5227647597286796,2.842170943040401e-14,0.009617600002457038,60.856492873193865,0.7409874511139705,0.1885217012434418
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,kernel_weight,8.0,1.2090847413187031e-15,0.0008244220631285122,0.004381190138081515,2.842170943040401e-14,0.009350950000225566,60.856492873193865,0.7409874511139705,0.1885217012434418
