regime,snr,budget_ratio,arm,runs,mean_gain,median_gain,worst_gain,win_rate,mean_fit_seconds,mean_detected_spikes,mean_expert_count,mean_routing_entropy,mean_oracle_gap
false_spectral_outlier,0.5,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.001376819999998702,0.6,3.0,1.0169108132367575,0.34381887424791735
false_spectral_outlier,0.5,0.05,B1_bulk_single_spike,5,-0.4002789396186067,-0.3266509859139803,-0.5800213982860991,0.0,0.0003714999999999691,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.05,B2_bulk_multi_spike,5,-0.364033204276414,-0.3769619886459196,-0.5574887441333928,0.0,0.0003714999999999691,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.001376819999998702,0.6,3.0,1.0169108132367575,0.34381887424791735
false_spectral_outlier,0.5,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0015646399999994288,0.6,3.0,1.068141617773945,0.37682655918436464
false_spectral_outlier,0.5,0.1,B1_bulk_single_spike,5,-0.17294918325427672,-0.21010589376129937,-0.24459476990457762,0.0,0.000428200000000345,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.1,B2_bulk_multi_spike,5,-0.06965157562166871,-0.08208759774298298,-0.22384876500302525,0.4,0.00043869999999941457,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0015646399999994288,0.6,3.0,1.068141617773945,0.37682655918436464
false_spectral_outlier,0.5,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0014441599999983623,0.6,3.0,1.0116761476513492,0.40971480022132045
false_spectral_outlier,0.5,0.2,B1_bulk_single_spike,5,0.08635820412555605,0.04460948781782311,-0.009310269891500616,0.8,0.00038342000000000096,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.2,B2_bulk_multi_spike,5,0.0802442160904768,0.10066537999747031,-0.01566947599631589,0.8,0.00037269999999978154,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.2,B3_validation_selected,5,-0.003133895199263178,0.0,-0.01566947599631589,0.0,0.0012353199999992626,0.6,2.6,0.7952228429168431,0.3440135019827944
false_spectral_outlier,1.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0014635600000019622,1.0,3.0,1.058137353819125,0.31264792030659144
false_spectral_outlier,1.0,0.05,B1_bulk_single_spike,5,-0.38949819583119405,-0.3186468890090286,-0.7637331443218541,0.0,0.0005352599999980612,1.0,1.4,0.0624647474375454,0.1329518908988209
false_spectral_outlier,1.0,0.05,B2_bulk_multi_spike,5,-0.19635317198516625,-0.2024071668992774,-0.4354896684164068,0.2,0.0004970200000002478,1.0,1.4,0.0624647474375454,0.11956350432007345
false_spectral_outlier,1.0,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0014635600000019622,1.0,3.0,1.058137353819125,0.31264792030659144
false_spectral_outlier,1.0,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013733799999997131,1.0,3.0,1.001183889899193,0.3522921074709425
false_spectral_outlier,1.0,0.1,B1_bulk_single_spike,5,-0.14800188688342758,-0.1336287877909046,-0.33803442911679843,0.0,0.0005221799999986842,1.0,1.4,0.0624647474375454,0.08822128953101296
