dataset,problem_type,seed,budget_ratio,model,row_arm_id,selection_method,training_reweighting,status,selected_geometry_arm,primary_metric,primary_value,rmse,mae,tail_mae,roc_auc,log_loss,n_experts,total_train_rows,ensemble_fit_seconds,sampler_fit_seconds,gram_relative_error_mean,projection_cost_error_mean,principal_angle_max_mean,effective_sample_size_mean,inclusion_probability_min_mean,inclusion_probability_max_mean
diamonds__task_233211,regression,11,0.1,lightgbm,R0_uniform,uniform,none,completed,A2_median_scaled_euclidean,rmse,1004.2280596886076,1004.2280596886076,577.7412819791165,,,,2,800,13.303225787356496,12.96523156389594,0.1009337074843745,4.837926596550589e-13,1.8111274045886e-06,400.0,0.10000370951165397,0.10000370951165397
diamonds__task_233211,regression,11,0.1,lightgbm,R1_capped_incumbent,capped_leverage,none,completed,A2_median_scaled_euclidean,rmse,932.0700775540547,932.0700775540547,521.7072604797332,,,,2,800,13.158403489738703,12.807272557169199,0.11157503713602013,2.2367226828819057e-13,2.493710284808199e-06,400.0,0.025230639266965397,0.15034103484227057
diamonds__task_233211,regression,11,0.1,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A6_cosine_negative_control,rmse,986.7606634483576,986.7606634483576,543.9855659390454,,,,2,800,13.073955787345767,12.725316578522325,0.08449168133183108,5.1039604669863975e-14,3.192487886281591e-06,400.0,0.04453019741188072,0.7629638282545458
diamonds__task_233211,regression,11,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,rmse,1070.6790266024832,1070.6790266024832,561.7301960177577,,,,2,800,13.451921397820115,13.11761698499322,0.08449168133183108,5.1039604669863975e-14,3.192487886281591e-06,383.34250249027616,0.04453019741188072,0.7629638282545458
diamonds__task_233211,regression,11,0.1,lightgbm,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,completed,A2_median_scaled_euclidean,rmse,1062.9882040900584,1062.9882040900584,565.6467980052829,,,,2,800,13.270639767870307,12.932947676628828,0.07503584066780424,2.6942112584212724e-13,2.6620952477113994e-06,366.9473049621604,0.024324644738000965,1.0
