dataset,problem_type,budget_ratio,row_arm_id,selection_method,training_reweighting,runs,primary_value_mean,primary_gain_mean,primary_gain_median,tail_gain_mean,gram_error_mean,projection_cost_error_mean,effective_sample_size_mean,fit_time_seconds_mean,fit_time_ratio_mean
diamonds__task_233211,regression,0.1,R0_uniform,uniform,none,1,1004.2280596886076,0.0,0.0,,0.1009337074843745,4.837926596550589e-13,400.0,13.303225787356496,1.0
diamonds__task_233211,regression,0.1,R1_capped_incumbent,capped_leverage,none,1,932.0700775540547,0.07185417837948853,0.07185417837948853,,0.11157503713602013,2.2367226828819057e-13,400.0,13.158403489738703,0.9891137457987496
diamonds__task_233211,regression,0.1,R2_robust_mixture,robust_leverage_mixture,none,1,986.7606634483576,0.017393853987376418,0.017393853987376418,,0.08449168133183108,5.1039604669863975e-14,400.0,13.073955787345767,0.9827658341160661
diamonds__task_233211,regression,0.1,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,1,1070.6790266024832,-0.06617119116795125,-0.06617119116795125,,0.08449168133183108,5.1039604669863975e-14,383.34250249027616,13.451921397820115,1.0111774101139395
diamonds__task_233211,regression,0.1,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,1,1062.9882040900584,-0.05851274900610848,-0.05851274900610848,,0.07503584066780424,2.6942112584212724e-13,366.9473049621604,13.270639767870307,0.9975505174453884
