problem_type,test_primary_metric,budget_ratio,arm_name,runs,mean_gain,median_gain,worst_gain,best_gain,win_rate,harm_rate,dataset_balanced_mean_gain,datasets
classification,log_loss,0.01,B1_bulk_single_spike,25.0,-0.06874350808683304,-0.10707698001919434,-0.35967447318139867,0.26056167868577834,0.4,0.6,-0.06874350808683304,5
classification,log_loss,0.01,B2_bulk_multi_spike,25.0,-0.065813761574785,-0.10707698001919434,-0.35967447318139867,0.26056167868577834,0.4,0.6,-0.06581376157478501,5
classification,log_loss,0.01,B3_validation_selected,25.0,0.0020532570389048227,0.0,0.0,0.05133142597262057,0.04,0.0,0.0020532570389048227,5
classification,log_loss,0.05,B1_bulk_single_spike,25.0,0.09589860527591178,0.02140903292522006,-0.14807598192759364,0.3901654549553585,0.76,0.24,0.09589860527591178,5
classification,log_loss,0.05,B2_bulk_multi_spike,25.0,0.09614072957443622,0.02140903292522006,-0.14807598192759364,0.3901654549553585,0.8,0.2,0.09614072957443622,5
classification,log_loss,0.05,B3_validation_selected,25.0,0.025978239866899608,0.0,0.0,0.3617164615644409,0.12,0.0,0.02597823986689961,5
classification,log_loss,0.1,B1_bulk_single_spike,25.0,0.04048842681332702,0.047356945855675125,-0.48743071848369074,0.44326388877941697,0.64,0.36,0.040488426813327025,5
classification,log_loss,0.1,B2_bulk_multi_spike,25.0,0.04069028390890048,0.047356945855675125,-0.48743071848369074,0.44326388877941697,0.64,0.36,0.04069028390890049,5
classification,log_loss,0.1,B3_validation_selected,25.0,0.01264100095612857,0.0,0.0,0.29554124763473855,0.08,0.0,0.01264100095612857,5
classification,log_loss,0.2,B1_bulk_single_spike,25.0,0.022901621709294044,0.023742176849776923,-0.60583195953698,0.3263522413927494,0.76,0.24,0.022901621709294044,5
classification,log_loss,0.2,B2_bulk_multi_spike,25.0,0.022365263991288103,0.023742176849776923,-0.60583195953698,0.3263522413927494,0.76,0.24,0.022365263991288103,5
classification,log_loss,0.2,B3_validation_selected,25.0,0.00014119958001218775,0.0,0.0,0.003529989500304694,0.04,0.0,0.00014119958001218775,5
classification,roc_auc,0.01,B1_bulk_single_spike,15.0,0.03729309437782575,0.021732829896105033,-0.022030366454542816,0.2568413729128015,0.8666666666666667,0.13333333333333333,0.03729309437782575,3
classification,roc_auc,0.01,B2_bulk_multi_spike,15.0,0.03729309437782575,0.021732829896105033,-0.022030366454542816,0.2568413729128015,0.8666666666666667,0.13333333333333333,0.03729309437782575,3
classification,roc_auc,0.01,B3_validation_selected,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
classification,roc_auc,0.05,B1_bulk_single_spike,15.0,0.004252140120579699,0.003486184635189127,-0.006351168184928091,0.016555910461454992,0.6666666666666666,0.3333333333333333,0.004252140120579699,3
classification,roc_auc,0.05,B2_bulk_multi_spike,15.0,0.004252140120579699,0.003486184635189127,-0.006351168184928091,0.016555910461454992,0.6666666666666666,0.3333333333333333,0.004252140120579699,3
classification,roc_auc,0.05,B3_validation_selected,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
classification,roc_auc,0.1,B1_bulk_single_spike,15.0,0.003214955586651443,0.003753644314868798,-0.012618964094537666,0.016315413978242765,0.6666666666666666,0.3333333333333333,0.003214955586651443,3
classification,roc_auc,0.1,B2_bulk_multi_spike,15.0,0.003214955586651443,0.003753644314868798,-0.012618964094537666,0.016315413978242765,0.6666666666666666,0.3333333333333333,0.003214955586651443,3
classification,roc_auc,0.1,B3_validation_selected,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
classification,roc_auc,0.2,B1_bulk_single_spike,15.0,0.0017985614550778406,0.0011377751954187998,-0.003669465042084652,0.007865844623175633,0.7333333333333333,0.26666666666666666,0.0017985614550778406,3
classification,roc_auc,0.2,B2_bulk_multi_spike,15.0,0.0017985614550778406,0.0011377751954187998,-0.003669465042084652,0.007865844623175633,0.7333333333333333,0.26666666666666666,0.0017985614550778406,3
classification,roc_auc,0.2,B3_validation_selected,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
regression,rmse,0.01,B1_bulk_single_spike,35.0,-0.2012528705246581,-0.018631729811749435,-2.4097323999007823,0.13333063114144833,0.2857142857142857,0.7142857142857143,-0.2012528705246581,7
regression,rmse,0.01,B2_bulk_multi_spike,35.0,-0.2012528705246581,-0.018631729811749435,-2.4097323999007823,0.13333063114144833,0.2857142857142857,0.7142857142857143,-0.2012528705246581,7
