dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,arm_name,selected_arm_name,status,selected_temperature,n_train,n_calibration,n_selection,n_validation,n_test,n_experts,error_type,error,calibration_primary_metric,calibration_primary_value,validation_primary_metric,validation_primary_value,validation_accuracy,validation_f1_macro,validation_f1_weighted,validation_worst_class_recall,validation_roc_auc,validation_log_loss,validation_brier_score,validation_expected_calibration_error,validation_ece,validation_routing_mean_max_probability,validation_routing_mean_top1_margin,validation_routing_median_top1_margin,validation_routing_mean_entropy,validation_routing_effective_expert_count,validation_routing_hard_assignment_counts,validation_routing_soft_assignment_mass,validation_routing_dead_expert_count,validation_routing_hard_assignment_dead_expert_count,validation_routing_hard_assignment_imbalance,validation_routing_soft_assignment_imbalance,validation_oracle_expert_regret,validation_mean_oracle_loss,validation_mean_blended_loss,validation_weight_negative_loss_rank_correlation,test_primary_metric,test_primary_value,test_accuracy,test_f1_macro,test_f1_weighted,test_worst_class_recall,test_roc_auc,test_log_loss,test_brier_score,test_expected_calibration_error,test_ece,test_routing_mean_max_probability,test_routing_mean_top1_margin,test_routing_median_top1_margin,test_routing_mean_entropy,test_routing_effective_expert_count,test_routing_hard_assignment_counts,test_routing_soft_assignment_mass,test_routing_dead_expert_count,test_routing_hard_assignment_dead_expert_count,test_routing_hard_assignment_imbalance,test_routing_soft_assignment_imbalance,test_oracle_expert_regret,test_mean_oracle_loss,test_mean_blended_loss,test_weight_negative_loss_rank_correlation,selection_fallback_arm_name,selection_fallback_used,selection_reason,selection_improvement_vs_fallback,selection_candidate_scores,selection_status,selection_reference_arm
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,A2_median_scaled_euclidean,A2_median_scaled_euclidean,completed,0.25,8000,,,2000,4885,2,,,,,roc_auc,0.8518431588931028,0.8165,0.7130120867266525,0.8027992687673086,0.4509394572025052,0.8518431588931028,0.4519137879141313,0.13534542769178018,0.09067325206677417,0.09067325206677417,0.8440937925255892,0.6881875850511785,0.8026955284365104,0.36291691797356895,1.4375164225023458,"[1000, 1000]","[987.395880192882, 1012.604119807118]",0,0,1.0,1.0255300230838635,0.157572294267994,0.29434149364613726,0.4519137879141313,0.2405463764345889,roc_auc,0.8705378724328983,0.8331627430910952,0.7336410466588377,0.818531120608255,0.4636441402908469,0.8705378724328983,0.4217335722677056,0.12488290859009962,0.07557447245940296,0.07557447245940296,0.8419903212739849,0.6839806425479699,0.798698962412002,0.36561906997026705,1.4414060632071706,"[2475, 2410]","[2454.963471411914, 2430.036528588086]",0,0,1.0269709543568464,1.0102578469626178,0.1355792725295897,0.28615429973811596,0.4217335722677056,0.25442792867508945,,,,,,,
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,A5_gmm_posterior,A5_gmm_posterior,completed,2.0,8000,,,2000,4885,2,,,,,roc_auc,0.8583601328101087,0.8205,0.7165952431419405,0.8059996664665465,0.4488517745302714,0.8583601328101087,0.46686363894658583,0.1350265617940687,0.09500679335118864,0.09500679335118864,0.8994255763964987,0.7988511527929972,0.9305477933978963,0.2625467176754888,1.3002372108096756,"[1195, 805]","[1152.5512977096528, 847.4487022903475]",0,0,1.484472049689441,1.3600248541235869,0.1725221453004486,0.29434149364613726,0.4668636389465859,0.2778662698427244,roc_auc,0.8741400790607008,0.8331627430910952,0.7327857912266231,0.8181766049870808,0.4602224123182207,0.8741400790607008,0.439433858905899,0.12718509998573738,0.08473393939733552,0.08473393939733552,0.8978626537549322,0.7957253075098643,0.9305475004890698,0.26398487774305435,1.3021085053326198,"[2974, 1911]","[2853.493431458591, 2031.5065685414088]",0,0,1.5562532705389849,1.4046193478504756,0.15327955916778316,0.28615429973811596,0.439433858905899,0.2837365880821804,,,,,,,
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,A6_cosine_negative_control,A6_cosine_negative_control,completed,0.1,8000,,,2000,4885,2,,,,,roc_auc,0.8519680629846038,0.8175,0.7145760535564801,0.803873932152773,0.453027139874739,0.8519680629846038,0.456812809069169,0.1354350136748365,0.090797234915273,0.090797234915273,0.8589310522267346,0.7178621044534692,0.8385596109080864,0.3403800793648296,1.405481683643884,"[1035, 965]","[1031.5623131866946, 968.4376868133054]",0,0,1.072538860103627,1.0651819184991695,0.16247131542303167,0.29434149364613726,0.45681280906916905,0.258119608181033,roc_auc,0.8715270520008729,0.8335721596724668,0.7340821251655749,0.8188883895193411,0.4636441402908469,0.8715270520008729,0.42465902354895,0.1251063376966904,0.07645537131518783,0.07645537131518783,0.857608293475415,0.71521658695083,0.8406094201857335,0.3410214859893331,1.406383458077523,"[2581, 2304]","[2559.7819222843236, 2325.2180777156764]",0,0,1.1202256944444444,1.1008782130229633,0.13850472381083417,0.28615429973811596,0.42465902354895,0.27211150898197717,,,,,,,
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,A10_classification_guarded_cross_fitted_selected,A2_median_scaled_euclidean,completed,0.25,8000,,,2000,4885,2,,,,,roc_auc,0.8518431588931028,0.8165,0.7130120867266525,0.8027992687673086,0.4509394572025052,0.8518431588931028,0.4519137879141313,0.13534542769178018,0.09067325206677417,0.09067325206677417,0.8440937925255892,0.6881875850511785,0.8026955284365104,0.36291691797356895,1.4375164225023458,"[1000, 1000]","[987.395880192882, 1012.604119807118]",0,0,1.0,1.0255300230838635,0.157572294267994,0.29434149364613726,0.4519137879141313,0.2405463764345889,roc_auc,0.8705378724328983,0.8331627430910952,0.7336410466588377,0.818531120608255,0.4636441402908469,0.8705378724328983,0.4217335722677056,0.12488290859009962,0.07557447245940296,0.07557447245940296,0.8419903212739849,0.6839806425479699,0.798698962412002,0.36561906997026705,1.4414060632071706,"[2475, 2410]","[2454.963471411914, 2430.036528588086]",0,0,1.0269709543568464,1.0102578469626178,0.1355792725295897,0.28615429973811596,0.4217335722677056,0.25442792867508945,,,no_candidate_passed_cross_fitted_gates,,,fallback_to_a2,A2_median_scaled_euclidean
car__task_359960,359960,car,271,classification,42,0.1,lightgbm,A2_median_scaled_euclidean,A2_median_scaled_euclidean,completed,0.1,1244,,,311,173,2,,,,,log_loss,0.6903946732347773,0.7491961414790996,0.35759602415745295,0.7049380750703296,0.0,,0.6903946732347773,0.3570036144126034,0.10276740229092451,0.10276740229092451,0.8763883266596821,0.7527766533193639,0.8334858721515128,0.3191489017079899,1.3759561918802299,"[178, 133]","[178.01597741026427, 132.98402258973573]",0,0,1.3383458646616542,1.3386268060145468,0.1409076205553866,0.5494870526793907,0.6903946732347773,-0.11208787259318012,log_loss,0.6235719212204903,0.7630057803468208,0.4461095136277618,0.7099385057699052,0.0,,0.6235719212204903,0.3307936464559589,0.10222065547837865,0.10222065547837865,0.8709037306086181,0.7418074612172358,0.8447885840364064,0.3287954922400449,1.3892937051895522,"[81, 92]","[85.34810837200084, 87.65189162799916]",0,0,1.1358024691358024,1.0269927863656565,0.12281817514206157,0.5007537460784286,0.6235719212204903,-0.06155793193979568,,,,,,,
car__task_359960,359960,car,271,classification,42,0.1,lightgbm,A5_gmm_posterior,A5_gmm_posterior,completed,2.0,1244,,,311,173,2,,,,,log_loss,0.6903673381633957,0.7491961414790996,0.3562394812394813,0.7059343715292268,0.0,,0.6903673381633957,0.3551728136590903,0.09450906836643282,0.09450906836643282,0.9082709561643303,0.8165419123286605,0.8654602020088525,0.27066526741318825,1.310836217341561,"[191, 120]","[188.18178258808462, 122.81821741191538]",0,0,1.5916666666666666,1.5321976377246125,0.1408802854840049,0.5494870526793907,0.6903673381633957,-0.15538031437902922,log_loss,0.620617777635632,0.7630057803468208,0.4461095136277618,0.7099385057699052,0.0,,0.620617777635632,0.3265215586694903,0.10793605374282565,0.10793605374282565,0.901004580475205,0.8020091609504099,0.8480677337276175,0.28735476796890763,1.332896998767194,"[88, 85]","[90.73903328746519, 82.2609667125348]",0,0,1.035294117647059,1.1030630554653877,0.11986403155720328,0.5007537460784286,0.620617777635632,-0.1264824888314618,,,,,,,
car__task_359960,359960,car,271,classification,42,0.1,lightgbm,A6_cosine_negative_control,A6_cosine_negative_control,completed,0.05,1244,,,311,173,2,,,,,log_loss,0.68877828486535,0.7491961414790996,0.35759602415745295,0.7049380750703296,0.0,,0.68877828486535,0.35674113994207585,0.09696941942285087,0.09696941942285087,0.8886253345228023,0.7772506690456047,0.8745489800224642,0.29895345720771843,1.348446861530185,"[175, 136]","[174.02953002649906, 136.97046997350094]",0,0,1.286764705882353,1.2705624070660468,0.13929123218595932,0.5494870526793907,0.68877828486535,-0.09919859003147909,log_loss,0.6219124350822214,0.7630057803468208,0.4461095136277618,0.7099385057699052,0.0,,0.6219124350822214,0.33045055178291194,0.10120486217880167,0.10120486217880167,0.8869687657697162,0.7739375315394327,0.878259942348109,0.3038543044121224,1.3550716137514005,"[77, 96]","[82.65951134999958, 90.34048865000042]",0,0,1.2467532467532467,1.0929230910581822,0.12115868900379258,0.5007537460784286,0.6219124350822214,-0.04805953885886052,,,,,,,
car__task_359960,359960,car,271,classification,42,0.1,lightgbm,A10_classification_guarded_cross_fitted_selected,A2_median_scaled_euclidean,completed,0.1,1244,,,311,173,2,,,,,log_loss,0.6903946732347773,0.7491961414790996,0.35759602415745295,0.7049380750703296,0.0,,0.6903946732347773,0.3570036144126034,0.10276740229092451,0.10276740229092451,0.8763883266596821,0.7527766533193639,0.8334858721515128,0.3191489017079899,1.3759561918802299,"[178, 133]","[178.01597741026427, 132.98402258973573]",0,0,1.3383458646616542,1.3386268060145468,0.1409076205553866,0.5494870526793907,0.6903946732347773,-0.11208787259318012,log_loss,0.6235719212204903,0.7630057803468208,0.4461095136277618,0.7099385057699052,0.0,,0.6235719212204903,0.3307936464559589,0.10222065547837865,0.10222065547837865,0.8709037306086181,0.7418074612172358,0.8447885840364064,0.3287954922400449,1.3892937051895522,"[81, 92]","[85.34810837200084, 87.65189162799916]",0,0,1.1358024691358024,1.0269927863656565,0.12281817514206157,0.5007537460784286,0.6235719212204903,-0.06155793193979568,,,no_candidate_passed_cross_fitted_gates,,,fallback_to_a2,A2_median_scaled_euclidean
