dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,arm_name,selected_arm_name,status,selected_temperature,n_train,n_calibration,n_selection,n_validation,n_test,n_experts,error_type,error,calibration_primary_metric,calibration_primary_value,validation_primary_metric,validation_primary_value,validation_accuracy,validation_f1_macro,validation_f1_weighted,validation_worst_class_recall,validation_roc_auc,validation_log_loss,validation_brier_score,validation_expected_calibration_error,validation_ece,validation_routing_mean_max_probability,validation_routing_mean_top1_margin,validation_routing_median_top1_margin,validation_routing_mean_entropy,validation_routing_effective_expert_count,validation_routing_hard_assignment_counts,validation_routing_soft_assignment_mass,validation_routing_dead_expert_count,validation_routing_hard_assignment_dead_expert_count,validation_routing_hard_assignment_imbalance,validation_routing_soft_assignment_imbalance,validation_oracle_expert_regret,validation_mean_oracle_loss,validation_mean_blended_loss,validation_weight_negative_loss_rank_correlation,test_primary_metric,test_primary_value,test_accuracy,test_f1_macro,test_f1_weighted,test_worst_class_recall,test_roc_auc,test_log_loss,test_brier_score,test_expected_calibration_error,test_ece,test_routing_mean_max_probability,test_routing_mean_top1_margin,test_routing_median_top1_margin,test_routing_mean_entropy,test_routing_effective_expert_count,test_routing_hard_assignment_counts,test_routing_soft_assignment_mass,test_routing_dead_expert_count,test_routing_hard_assignment_dead_expert_count,test_routing_hard_assignment_imbalance,test_routing_soft_assignment_imbalance,test_oracle_expert_regret,test_mean_oracle_loss,test_mean_blended_loss,test_weight_negative_loss_rank_correlation,selection_fallback_arm_name,selection_fallback_used,selection_reason,selection_improvement_vs_fallback,selection_candidate_scores,selection_status,selection_reference_arm,reference_primary_metric,reference_primary_value,metric_contract_valid,gain_vs_a2,allowed_harm,within_harm_margin,selected_nonbaseline
adult__task_359983,359983,adult,271,classification,42,0.1,lightgbm,A10_classification_guarded_cross_fitted_selected,A2_median_scaled_euclidean,completed,0.25,8000,,,2000,4885,2,,,,,roc_auc,0.8518431588931028,0.8165,0.7130120867266525,0.8027992687673086,0.4509394572025052,0.8518431588931028,0.4519137879141313,0.1353454276917801,0.0906732520667741,0.0906732520667741,0.8440937925255892,0.6881875850511785,0.8026955284365104,0.3629169179735689,1.4375164225023458,"[1000, 1000]","[987.395880192882, 1012.604119807118]",0,0,1.0,1.0255300230838635,0.157572294267994,0.2943414936461372,0.4519137879141313,0.2405463764345889,roc_auc,0.8705378724328983,0.8331627430910952,0.7336410466588377,0.818531120608255,0.4636441402908469,0.8705378724328983,0.4217335722677056,0.1248829085900996,0.0755744724594029,0.0755744724594029,0.8419903212739849,0.6839806425479699,0.798698962412002,0.365619069970267,1.4414060632071706,"[2475, 2410]","[2454.963471411914, 2430.036528588086]",0,0,1.0269709543568464,1.0102578469626178,0.1355792725295897,0.2861542997381159,0.4217335722677056,0.2544279286750894,,,no_candidate_passed_cross_fitted_gates,,,fallback_to_a2,A2_median_scaled_euclidean,roc_auc,0.8705378724328983,True,0.0,-0.005,True,False
car__task_359960,359960,car,271,classification,42,0.1,lightgbm,A10_classification_guarded_cross_fitted_selected,A2_median_scaled_euclidean,completed,0.1,1244,,,311,173,2,,,,,log_loss,0.6903946732347773,0.7491961414790996,0.3575960241574529,0.7049380750703296,0.0,,0.6903946732347773,0.3570036144126034,0.1027674022909245,0.1027674022909245,0.8763883266596821,0.7527766533193639,0.8334858721515128,0.3191489017079899,1.37595619188023,"[178, 133]","[178.01597741026427, 132.98402258973573]",0,0,1.3383458646616542,1.3386268060145468,0.1409076205553866,0.5494870526793907,0.6903946732347773,-0.1120878725931801,log_loss,0.6235719212204903,0.7630057803468208,0.4461095136277618,0.7099385057699052,0.0,,0.6235719212204903,0.3307936464559589,0.1022206554783786,0.1022206554783786,0.8709037306086181,0.7418074612172358,0.8447885840364064,0.3287954922400449,1.3892937051895522,"[81, 92]","[85.34810837200084, 87.65189162799916]",0,0,1.1358024691358024,1.0269927863656565,0.1228181751420615,0.5007537460784286,0.6235719212204903,-0.0615579319397956,,,no_candidate_passed_cross_fitted_gates,,,fallback_to_a2,A2_median_scaled_euclidean,log_loss,0.6235719212204903,True,0.0,-0.01,True,False
