dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,arm_name,selected_arm_name,status,selected_temperature,n_train,n_calibration,n_selection,n_validation,n_test,n_experts,error_type,error,calibration_primary_metric,calibration_primary_value,validation_primary_metric,validation_primary_value,validation_mse,validation_rmse,validation_r2,validation_mae,validation_tail_mean_absolute_error,validation_routing_mean_max_probability,validation_routing_mean_top1_margin,validation_routing_median_top1_margin,validation_routing_mean_entropy,validation_routing_effective_expert_count,validation_routing_hard_assignment_counts,validation_routing_soft_assignment_mass,validation_routing_dead_expert_count,validation_routing_hard_assignment_dead_expert_count,validation_routing_hard_assignment_imbalance,validation_routing_soft_assignment_imbalance,validation_oracle_expert_regret,validation_mean_oracle_loss,validation_mean_blended_loss,validation_weight_negative_loss_rank_correlation,validation_tail_absolute_error_quantile,test_primary_metric,test_primary_value,test_mse,test_rmse,test_r2,test_mae,test_tail_mean_absolute_error,test_routing_mean_max_probability,test_routing_mean_top1_margin,test_routing_median_top1_margin,test_routing_mean_entropy,test_routing_effective_expert_count,test_routing_hard_assignment_counts,test_routing_soft_assignment_mass,test_routing_dead_expert_count,test_routing_hard_assignment_dead_expert_count,test_routing_hard_assignment_imbalance,test_routing_soft_assignment_imbalance,test_oracle_expert_regret,test_mean_oracle_loss,test_mean_blended_loss,test_weight_negative_loss_rank_correlation,test_tail_absolute_error_quantile,selection_fallback_arm_name,selection_fallback_used,selection_reason,selection_improvement_vs_fallback,selection_candidate_scores,selection_status,selection_reference_arm
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A2_median_scaled_euclidean,A2_median_scaled_euclidean,completed,0.1,8000,,,2000,5394,2,,,,,rmse,1079.9776257588512,1166351.6721397252,1079.9776257588512,0.9231291623427813,577.6670372151582,2783.9684755031376,0.9582239912242873,0.9164479824485745,0.9103684523083986,0.15383099587718818,1.1662937616672988,"[938, 1062]","[972.2657098720565, 1027.7342901279435]",0,0,1.1321961620469083,1.05705084494154,139922.70198208213,1026428.970157643,1166351.6721397252,0.5848529375491124,0.9,rmse,1070.6790266024832,1146353.578006441,1070.6790266024832,0.9259931969808939,561.7301960177577,2752.3280178932887,0.9550212262791746,0.9100424525583491,0.9103684523083975,0.15936999969681995,1.172771791621859,"[2491, 2903]","[2587.2978484438063, 2806.7021515561937]",0,0,1.1653954235246888,1.084800558715864,220231.58156390273,926121.9964425382,1146353.578006441,0.6011958046577092,0.9,,,,,,,
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A5_gmm_posterior,A5_gmm_posterior,completed,0.25,8000,,,2000,5394,2,,,,,rmse,1086.809563538569,1181155.0273988945,1086.809563538569,0.9221535163638784,580.6170137625861,2807.3722470337448,0.9602068615792613,0.9204137231585225,0.9103684523083997,0.15120480537467879,1.163234870440882,"[871, 1129]","[909.2641425636717, 1090.7358574363284]",0,0,1.296211251435132,1.1995808548668783,154726.05724125143,1026428.970157643,1181155.0273988945,0.5915179012699157,0.9,rmse,1078.4599672353002,1163075.9009291648,1078.4599672353002,0.9249136298365961,565.6001164043968,2778.9705806589627,0.9581937536152881,0.9163875072305763,0.9103684523083995,0.1555995956756081,1.168358293706411,"[2299, 3095]","[2403.6795969154955, 2990.320403084504]",0,0,1.3462374945628535,1.2440594856826221,236953.90448662688,926121.9964425382,1163075.9009291648,0.6082430481989936,0.9,,,,,,,
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A6_cosine_negative_control,A6_cosine_negative_control,completed,0.05,8000,,,2000,5394,2,,,,,rmse,1079.5667523670809,1165464.3728164062,1079.5667523670809,0.9231876416538377,576.777679603304,2782.655497413621,0.958293384985642,0.916586769971284,0.9103684523067631,0.15354147203242308,1.1659561406903154,"[936, 1064]","[970.8348267044364, 1029.1651732955636]",0,0,1.1367521367521367,1.06008266801587,139035.4026587631,1026428.970157643,1165464.3728164062,0.5865110368541553,0.9,rmse,1069.3260276582826,1143458.1534274418,1069.3260276582826,0.9261801210857998,559.9782998431767,2749.767653824645,0.9547222467320211,0.9094444934640421,0.9103684523060838,0.16000187684438402,1.1735130734911647,"[2485, 2909]","[2579.85704990006, 2814.14295009994]",0,0,1.1706237424547283,1.0908135201556832,217336.15698490365,926121.9964425382,1143458.1534274418,0.6043413134775927,0.9,,,,,,,
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A9_tail_guarded_cross_fitted_selected,A2_median_scaled_euclidean,completed,0.1,8000,,,2000,5394,2,,,,,rmse,1079.9776257588512,1166351.6721397252,1079.9776257588512,0.9231291623427813,577.6670372151582,2783.9684755031376,0.9582239912242873,0.9164479824485745,0.9103684523083986,0.15383099587718818,1.1662937616672988,"[938, 1062]","[972.2657098720565, 1027.7342901279435]",0,0,1.1321961620469083,1.05705084494154,139922.70198208213,1026428.970157643,1166351.6721397252,0.5848529375491124,0.9,rmse,1070.6790266024832,1146353.578006441,1070.6790266024832,0.9259931969808939,561.7301960177577,2752.3280178932887,0.9550212262791746,0.9100424525583491,0.9103684523083975,0.15936999969681995,1.172771791621859,"[2491, 2903]","[2587.2978484438063, 2806.7021515561937]",0,0,1.1653954235246888,1.084800558715864,220231.58156390273,926121.9964425382,1146353.578006441,0.6011958046577092,0.9,,,no_candidate_passed_cross_fitted_gates,,,fallback_to_a2,A2_median_scaled_euclidean
