dataset,budget_ratio,arm_name,runs,mean_gain,median_gain,worst_gain,win_rate,mean_primary_value,mean_degradation_vs_full,mean_fit_seconds,mean_inference_seconds,mean_tree_count,mean_max_depth,mean_tail_gain,mean_brier_gain,mean_ece_gain,mean_f1_macro_gain,mean_worst_class_recall_gain,mean_shap_stability
synthetic_multiclass_topology,0.05,B0_standard_A9,1,0.0,0.0,0.0,0.0,0.5877304774034218,0.8547021717431557,0.4208451999999996,0.007061000000000206,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_multiclass_topology,0.05,B1_bulk_single_spike,1,0.11946886820425992,0.11946886820425992,0.11946886820425992,1.0,0.5175149824588856,0.6331230024290179,0.4118436999999995,0.003420400000000434,0.0,0.0,,0.07894299518206498,0.0026322200505965454,-0.009901735550830737,0.04999999999999993,
synthetic_multiclass_topology,0.05,B2_bulk_multi_spike,1,0.11946886820425992,0.11946886820425992,0.11946886820425992,1.0,0.5175149824588856,0.6331230024290179,0.40205549999999945,0.002959899999999571,0.0,0.0,,0.07894299518206498,0.0026322200505965454,-0.009901735550830737,0.04999999999999993,
synthetic_multiclass_topology,0.05,B3_validation_selected,1,0.0,0.0,0.0,0.0,0.5877304774034218,0.8547021717431557,0.4208451999999996,0.007061000000000206,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_multiclass_topology,0.1,B0_standard_A9,1,0.0,0.0,0.0,0.0,0.48441500698381096,0.5286693476356027,0.4041921000000004,0.007111099999999482,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_multiclass_topology,0.1,B1_bulk_single_spike,1,-0.147988029082899,-0.147988029082899,-0.147988029082899,0.0,0.5561026291255239,0.7548941115116364,0.420608399999999,0.002863099999999008,0.0,0.0,,-0.14571720296956947,-0.04929997165279168,0.0014049786624390492,0.025000000000000022,
synthetic_multiclass_topology,0.1,B2_bulk_multi_spike,1,-0.147988029082899,-0.147988029082899,-0.147988029082899,0.0,0.5561026291255239,0.7548941115116364,0.4144085000000004,0.002808399999999267,0.0,0.0,,-0.14571720296956947,-0.04929997165279168,0.0014049786624390492,0.025000000000000022,
synthetic_multiclass_topology,0.1,B3_validation_selected,1,0.0,0.0,0.0,0.0,0.48441500698381096,0.5286693476356027,0.4041921000000004,0.007111099999999482,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_multiclass_topology,0.2,B0_standard_A9,1,0.0,0.0,0.0,0.0,0.5371519219991783,0.6950913294293046,0.3950428000000006,0.00804879999999919,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_multiclass_topology,0.2,B1_bulk_single_spike,1,0.2185197042262793,0.2185197042262793,0.2185197042262793,1.0,0.4197736428793404,0.32468047348588236,0.41979390000000016,0.0032538999999989215,0.0,0.0,,0.16675322678061938,-0.022121538750055333,0.025534144165580308,0.025000000000000022,
synthetic_multiclass_topology,0.2,B2_bulk_multi_spike,1,0.2185197042262793,0.2185197042262793,0.2185197042262793,1.0,0.4197736428793404,0.32468047348588236,0.41020830000000075,0.0027269000000007537,0.0,0.0,,0.16675322678061938,-0.022121538750055333,0.025534144165580308,0.025000000000000022,
synthetic_multiclass_topology,0.2,B3_validation_selected,1,0.0,0.0,0.0,0.0,0.5371519219991783,0.6950913294293046,0.3950428000000006,0.00804879999999919,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_rmt_regression_smoke,0.05,B0_standard_A9,1,0.0,0.0,0.0,0.0,93.53990778508894,5.967811961659373,0.5968811,0.00451329999999972,0.0,0.0,0.0,,,,,
synthetic_rmt_regression_smoke,0.05,B1_bulk_single_spike,1,0.75863402163394,0.75863402163394,0.75863402163394,1.0,22.577351358819023,0.6817927511966501,0.10772429999999966,0.0031583999999993395,0.0,0.0,0.7397341718753503,,,,,
synthetic_rmt_regression_smoke,0.05,B2_bulk_multi_spike,1,0.75863402163394,0.75863402163394,0.75863402163394,1.0,22.577351358819023,0.6817927511966501,0.12541660000000032,0.002721400000000429,0.0,0.0,0.7397341718753503,,,,,
synthetic_rmt_regression_smoke,0.05,B3_validation_selected,1,0.75863402163394,0.75863402163394,0.75863402163394,1.0,22.577351358819023,0.6817927511966501,0.10772429999999966,0.0031583999999993395,0.0,0.0,0.7397341718753503,,,,,
synthetic_rmt_regression_smoke,0.1,B0_standard_A9,1,0.0,0.0,0.0,0.0,19.698398006429127,0.4673387702078063,0.12331869999999956,0.004584400000000599,0.0,0.0,0.0,,,,,
synthetic_rmt_regression_smoke,0.1,B1_bulk_single_spike,1,-0.062007439258310974,-0.062007439258310974,-0.062007439258310974,0.0,20.919845224298815,0.5583246898728316,0.13149160000000037,0.002905700000000344,0.0,0.0,-0.16806413145919247,,,,,
synthetic_rmt_regression_smoke,0.1,B2_bulk_multi_spike,1,-0.062007439258310974,-0.062007439258310974,-0.062007439258310974,0.0,20.919845224298815,0.5583246898728316,0.12141680000000044,0.0025986000000006726,0.0,0.0,-0.16806413145919247,,,,,
synthetic_rmt_regression_smoke,0.1,B3_validation_selected,1,0.0,0.0,0.0,0.0,19.698398006429127,0.4673387702078063,0.12331869999999956,0.004584400000000599,0.0,0.0,0.0,,,,,
synthetic_rmt_regression_smoke,0.2,B0_standard_A9,1,0.0,0.0,0.0,0.0,15.026625396097142,0.11933721827969002,0.09661000000000008,0.0039559999999996265,0.0,0.0,0.0,,,,,
synthetic_rmt_regression_smoke,0.2,B1_bulk_single_spike,1,-0.1882261696658408,-0.1882261696658408,-0.1882261696658408,0.0,17.855029537407955,0.33002577544089323,0.12343340000000058,0.0032773000000005936,0.0,0.0,-0.28524171442008467,,,,,
synthetic_rmt_regression_smoke,0.2,B2_bulk_multi_spike,1,-0.1882261696658408,-0.1882261696658408,-0.1882261696658408,0.0,17.855029537407955,0.33002577544089323,0.12915030000000005,0.0026245000000004737,0.0,0.0,-0.28524171442008467,,,,,
synthetic_rmt_regression_smoke,0.2,B3_validation_selected,1,0.0,0.0,0.0,0.0,15.026625396097142,0.11933721827969002,0.09661000000000008,0.0039559999999996265,0.0,0.0,0.0,,,,,
