regime,snr,budget_ratio,arm,runs,mean_gain,median_gain,worst_gain,win_rate,mean_fit_seconds,mean_detected_spikes,mean_expert_count,mean_routing_entropy,mean_oracle_gap
false_spectral_outlier,0.5,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.001520939999998916,0.6,3.0,1.0169108132367575,0.34381887424791735
false_spectral_outlier,0.5,0.05,B1_bulk_single_spike,5,-0.4002789396186067,-0.3266509859139803,-0.5800213982860991,0.0,0.0003909800000016617,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.05,B2_bulk_multi_spike,5,-0.364033204276414,-0.3769619886459196,-0.5574887441333928,0.0,0.00036546000000043933,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.001520939999998916,0.6,3.0,1.0169108132367575,0.34381887424791735
false_spectral_outlier,0.5,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013350400000007312,0.6,3.0,1.068141617773945,0.37682655918436464
false_spectral_outlier,0.5,0.1,B1_bulk_single_spike,5,-0.17294918325427672,-0.21010589376129937,-0.24459476990457762,0.0,0.0003711400000000253,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.1,B2_bulk_multi_spike,5,-0.06965157562166871,-0.08208759774298298,-0.22384876500302525,0.4,0.0003560000000021546,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013350400000007312,0.6,3.0,1.068141617773945,0.37682655918436464
false_spectral_outlier,0.5,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.001585720000001345,0.6,3.0,1.0116761476513492,0.40971480022132045
false_spectral_outlier,0.5,0.2,B1_bulk_single_spike,5,0.08635820412555605,0.04460948781782311,-0.009310269891500616,0.8,0.0003983400000009851,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.2,B2_bulk_multi_spike,5,0.0802442160904768,0.10066537999747031,-0.01566947599631589,0.8,0.0004295999999996525,0.6,1.0,0.0,0.0
false_spectral_outlier,0.5,0.2,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.001585720000001345,0.6,3.0,1.0116761476513492,0.40971480022132045
false_spectral_outlier,1.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013818600000007563,1.0,3.0,1.058137353819125,0.31264792030659144
false_spectral_outlier,1.0,0.05,B1_bulk_single_spike,5,-0.38949819583119405,-0.3186468890090286,-0.7637331443218541,0.0,0.000538640000000612,1.0,1.4,0.0624647474375454,0.1329518908988209
