status,regime,snr,seed,budget_ratio,arm,realized_topology_mode,selected_topology_arm,primary_metric,primary_value,oracle_primary_value,oracle_gap,metrics,oracle_metrics,topology,topology_selection,selected_geometry_arm,detected_spike_count,n_experts,probability_valid,fit_seconds,mean_max_routing_probability,mean_routing_entropy,exact_budget,unique_budget,row_permutation_metric_invariant,expert_order_permutation_invariant
completed,null,0.5,11,0.2,B2_bulk_multi_spike,single_spike,B2_bulk_multi_spike,rmse,2.375151841572893,2.375151841572893,0.0,"{'mse': 5.641346270527104, 'rmse': 2.375151841572893, 'r2': 0.1940544682205133, 'mae': 1.8875292968236912, 'tail_mae': 4.8762189928760185}","{'mse': 5.641346270527104, 'rmse': 2.375151841572893, 'r2': 0.1940544682205133, 'mae': 1.8875292968236912, 'tail_mae': 4.8762189928760185}","{'topology_name': 'B2_bulk_multi_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [72], 'total_budget': 72, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 72, 'metadata': {'policy': 'excess_energy', 'total_budget': 72, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 72, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.00037849999999961526,1.0,0.0,True,True,True,True
completed,null,0.5,11,0.2,B3_validation_selected,standard,B0_standard_A9,rmse,3.1011159863304854,1.8216259661768088,0.41259018553113913,"{'mse': 9.616920360674499, 'rmse': 3.1011159863304854, 'r2': -0.37391211644957, 'mae': 2.529766193109641, 'tail_mae': 6.026424410954243}","{'mse': 3.318321160649592, 'rmse': 1.8216259661768088, 'r2': 0.5259312255999886, 'mae': 1.3893332300811059, 'tail_mae': 3.9063158829773843}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [25, 24, 23], 'total_budget': 72, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 72, 'metadata': {}}","{'selected_arm': 'B0_standard_A9', 'fallback_arm': 'B0_standard_A9', 'status': 'fallback_to_b0', 'mean_gain': 0.0, 'median_gain': 0.0, 'confidence_interval': [0.0, 0.0], 'positive_fold_fraction': 0.0, 'reason': 'no_spectrally_eligible_bulk_spike_topology', 'eligible_candidate_arms': []}",A2_median_scaled_euclidean,0,3,True,0.0014278999999999265,0.3924093938772201,1.084281098902031,True,True,True,True
completed,null,0.5,29,0.05,B0_standard_A9,standard,B0_standard_A9,rmse,2.546263959848177,1.9718922641077568,0.2255742942592125,"{'mse': 6.48346015322172, 'rmse': 2.546263959848177, 'r2': 0.055313247936711996, 'mae': 1.9532277860325802, 'tail_mae': 5.610979793288432}","{'mse': 3.8883591012480148, 'rmse': 1.9718922641077568, 'r2': 0.4334381266477887, 'mae': 1.3102039694535743, 'tail_mae': 4.743040714666976}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [7, 6, 5], 'total_budget': 18, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 18, 'metadata': {}}",,A2_median_scaled_euclidean,0,3,True,0.0018158999999999814,0.526866507945624,0.9664096123787463,True,True,True,True
completed,null,0.5,29,0.05,B1_bulk_single_spike,single_spike,B1_bulk_single_spike,rmse,3.5199723192334393,3.5199723192334393,0.0,"{'mse': 12.390205128169638, 'rmse': 3.5199723192334393, 'r2': -0.805341956811775, 'mae': 2.8921950951333324, 'tail_mae': 7.008215432646786}","{'mse': 12.390205128169638, 'rmse': 3.5199723192334393, 'r2': -0.805341956811775, 'mae': 2.8921950951333324, 'tail_mae': 7.008215432646786}","{'topology_name': 'B1_bulk_single_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [18], 'total_budget': 18, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 18, 'metadata': {'policy': 'excess_energy', 'total_budget': 18, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 18, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0005193000000001113,1.0,0.0,True,True,True,True
completed,null,0.5,29,0.05,B2_bulk_multi_spike,single_spike,B2_bulk_multi_spike,rmse,3.5508816451759166,3.5508816451759166,0.0,"{'mse': 12.608760458047225, 'rmse': 3.5508816451759166, 'r2': -0.8371870395066354, 'mae': 2.78543448191732, 'tail_mae': 7.2455746722182885}","{'mse': 12.608760458047225, 'rmse': 3.5508816451759166, 'r2': -0.8371870395066354, 'mae': 2.78543448191732, 'tail_mae': 7.2455746722182885}","{'topology_name': 'B2_bulk_multi_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [18], 'total_budget': 18, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 18, 'metadata': {'policy': 'excess_energy', 'total_budget': 18, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 18, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0003885999999999612,1.0,0.0,True,True,True,True
completed,null,0.5,29,0.05,B3_validation_selected,standard,B0_standard_A9,rmse,2.546263959848177,1.9718922641077568,0.2255742942592125,"{'mse': 6.48346015322172, 'rmse': 2.546263959848177, 'r2': 0.055313247936711996, 'mae': 1.9532277860325802, 'tail_mae': 5.610979793288432}","{'mse': 3.8883591012480148, 'rmse': 1.9718922641077568, 'r2': 0.4334381266477887, 'mae': 1.3102039694535743, 'tail_mae': 4.743040714666976}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [7, 6, 5], 'total_budget': 18, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 18, 'metadata': {}}","{'selected_arm': 'B0_standard_A9', 'fallback_arm': 'B0_standard_A9', 'status': 'fallback_to_b0', 'mean_gain': 0.0, 'median_gain': 0.0, 'confidence_interval': [0.0, 0.0], 'positive_fold_fraction': 0.0, 'reason': 'no_spectrally_eligible_bulk_spike_topology', 'eligible_candidate_arms': []}",A2_median_scaled_euclidean,0,3,True,0.0018158999999999814,0.526866507945624,0.9664096123787463,True,True,True,True
completed,null,0.5,29,0.1,B0_standard_A9,standard,B0_standard_A9,rmse,2.69598203998468,1.813631951292621,0.3272833704400616,"{'mse': 7.2683191599199555, 'rmse': 2.69598203998468, 'r2': -0.059046351465921854, 'mae': 2.164335376427444, 'tail_mae': 5.450514722337865}","{'mse': 3.2892608547494793, 'rmse': 1.813631951292621, 'r2': 0.5207310479084029, 'mae': 1.3169568295211274, 'tail_mae': 4.289630866213553}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [13, 12, 11], 'total_budget': 36, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 36, 'metadata': {}}",,A2_median_scaled_euclidean,0,3,True,0.0013752999999998572,0.38814003537959546,1.0863591705886553,True,True,True,True
completed,null,0.5,29,0.1,B1_bulk_single_spike,single_spike,B1_bulk_single_spike,rmse,3.1660310261194806,3.1660310261194806,0.0,"{'mse': 10.023752458351172, 'rmse': 3.1660310261194806, 'r2': -0.460532791068476, 'mae': 2.53197403284759, 'tail_mae': 6.679191069742118}","{'mse': 10.023752458351172, 'rmse': 3.1660310261194806, 'r2': -0.460532791068476, 'mae': 2.53197403284759, 'tail_mae': 6.679191069742118}","{'topology_name': 'B1_bulk_single_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [36], 'total_budget': 36, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 36, 'metadata': {'policy': 'excess_energy', 'total_budget': 36, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 36, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0003731000000000151,1.0,0.0,True,True,True,True
completed,null,0.5,29,0.1,B2_bulk_multi_spike,single_spike,B2_bulk_multi_spike,rmse,3.7466079579726217,3.7466079579726217,0.0,"{'mse': 14.037071190743779, 'rmse': 3.7466079579726217, 'r2': -1.0453021809774676, 'mae': 3.076936682392115, 'tail_mae': 7.43659633874017}","{'mse': 14.037071190743779, 'rmse': 3.7466079579726217, 'r2': -1.0453021809774676, 'mae': 3.076936682392115, 'tail_mae': 7.43659633874017}","{'topology_name': 'B2_bulk_multi_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [36], 'total_budget': 36, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 36, 'metadata': {'policy': 'excess_energy', 'total_budget': 36, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 36, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0003619000000001371,1.0,0.0,True,True,True,True
completed,null,0.5,29,0.1,B3_validation_selected,standard,B0_standard_A9,rmse,2.69598203998468,1.813631951292621,0.3272833704400616,"{'mse': 7.2683191599199555, 'rmse': 2.69598203998468, 'r2': -0.059046351465921854, 'mae': 2.164335376427444, 'tail_mae': 5.450514722337865}","{'mse': 3.2892608547494793, 'rmse': 1.813631951292621, 'r2': 0.5207310479084029, 'mae': 1.3169568295211274, 'tail_mae': 4.289630866213553}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [13, 12, 11], 'total_budget': 36, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 36, 'metadata': {}}","{'selected_arm': 'B0_standard_A9', 'fallback_arm': 'B0_standard_A9', 'status': 'fallback_to_b0', 'mean_gain': 0.0, 'median_gain': 0.0, 'confidence_interval': [0.0, 0.0], 'positive_fold_fraction': 0.0, 'reason': 'no_spectrally_eligible_bulk_spike_topology', 'eligible_candidate_arms': []}",A2_median_scaled_euclidean,0,3,True,0.0013752999999998572,0.38814003537959546,1.0863591705886553,True,True,True,True
completed,null,0.5,29,0.2,B0_standard_A9,standard,B0_standard_A9,rmse,3.047407904465483,1.77089504176776,0.418884803976258,"{'mse': 9.286694936198709, 'rmse': 3.047407904465483, 'r2': -0.35313821159534853, 'mae': 2.4581987376412764, 'tail_mae': 6.057929130779435}","{'mse': 3.1360692489576367, 'rmse': 1.77089504176776, 'r2': 0.5430521661228709, 'mae': 1.3826643006816441, 'tail_mae': 3.665549253327971}","{'topology_name': 'B0_standard_A9', 'mode': 'standard', 'partition_names': ['chunk_0', 'chunk_1', 'chunk_2'], 'regimes': ['standard', 'standard', 'standard'], 'partition_sizes': [26, 24, 22], 'total_budget': 72, 'n_experts': 3, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 72, 'metadata': {}}",,A2_median_scaled_euclidean,0,3,True,0.0014028000000001484,0.5582413586754863,0.9316017685061,True,True,True,True
completed,null,0.5,29,0.2,B1_bulk_single_spike,single_spike,B1_bulk_single_spike,rmse,2.6049739496983815,2.6049739496983815,0.0,"{'mse': 6.785889278607185, 'rmse': 2.6049739496983815, 'r2': 0.011247150291650132, 'mae': 2.0451332401758884, 'tail_mae': 5.4434760847696495}","{'mse': 6.785889278607185, 'rmse': 2.6049739496983815, 'r2': 0.011247150291650132, 'mae': 2.0451332401758884, 'tail_mae': 5.4434760847696495}","{'topology_name': 'B1_bulk_single_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [72], 'total_budget': 72, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 72, 'metadata': {'policy': 'excess_energy', 'total_budget': 72, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 72, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0005563000000003981,1.0,0.0,True,True,True,True
completed,null,0.5,29,0.2,B2_bulk_multi_spike,single_spike,B2_bulk_multi_spike,rmse,2.428905572995763,2.428905572995763,0.0,"{'mse': 5.899582282529876, 'rmse': 2.428905572995763, 'r2': 0.14038845102736697, 'mae': 1.9165847201580226, 'tail_mae': 5.073520344570897}","{'mse': 5.899582282529876, 'rmse': 2.428905572995763, 'r2': 0.14038845102736697, 'mae': 1.9165847201580226, 'tail_mae': 5.073520344570897}","{'topology_name': 'B2_bulk_multi_spike', 'mode': 'single_spike', 'partition_names': ['bulk'], 'regimes': ['bulk'], 'partition_sizes': [72], 'total_budget': 72, 'n_experts': 1, 'max_experts': 5, 'exact_budget': True, 'unique_rows': 72, 'metadata': {'policy': 'excess_energy', 'total_budget': 72, 'requested_spike_share': 0.0, 'resolved_spike_share': 0.0, 'bulk_candidate_count': 360, 'spike_candidate_count': 0, 'bulk_selected_count': 72, 'spike_selected_count': 0, 'exact_budget': True}}",,H0_signalness_gate,0,1,True,0.0003834000000000337,1.0,0.0,True,True,True,True
