dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,arm_name,selected_arm_name,status,selected_temperature,n_train,n_calibration,n_selection,n_validation,n_test,n_experts,error_type,error,calibration_primary_metric,calibration_primary_value,validation_primary_metric,validation_primary_value,validation_mse,validation_rmse,validation_r2,validation_mae,validation_tail_mean_absolute_error,validation_routing_mean_max_probability,validation_routing_mean_top1_margin,validation_routing_median_top1_margin,validation_routing_mean_entropy,validation_routing_effective_expert_count,validation_routing_hard_assignment_counts,validation_routing_soft_assignment_mass,validation_routing_dead_expert_count,validation_routing_hard_assignment_dead_expert_count,validation_routing_hard_assignment_imbalance,validation_routing_soft_assignment_imbalance,validation_oracle_expert_regret,validation_mean_oracle_loss,validation_mean_blended_loss,validation_weight_negative_loss_rank_correlation,validation_tail_absolute_error_quantile,test_primary_metric,test_primary_value,test_mse,test_rmse,test_r2,test_mae,test_tail_mean_absolute_error,test_routing_mean_max_probability,test_routing_mean_top1_margin,test_routing_median_top1_margin,test_routing_mean_entropy,test_routing_effective_expert_count,test_routing_hard_assignment_counts,test_routing_soft_assignment_mass,test_routing_dead_expert_count,test_routing_hard_assignment_dead_expert_count,test_routing_hard_assignment_imbalance,test_routing_soft_assignment_imbalance,test_oracle_expert_regret,test_mean_oracle_loss,test_mean_blended_loss,test_weight_negative_loss_rank_correlation,test_tail_absolute_error_quantile,selection_fallback_arm_name,selection_fallback_used,selection_reason,selection_improvement_vs_fallback,selection_candidate_scores,selection_status,selection_reference_arm
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A2_median_scaled_euclidean,A2_median_scaled_euclidean,completed,0.1,8000,,,2000,5394,2,,,,,rmse,1026.6633607750045,1054037.6563578274,1026.6633607750045,0.9305314516179891,594.2318481954851,2672.0753604910883,0.958855116175506,0.9177102323510119,0.9137857811914931,0.15221407367868986,1.1644094791737132,"[938, 1062]","[969.2729091052388, 1030.7270908947612]",0,0,1.1321961620469083,1.0634023516103968,111505.71765989855,942531.9386979287,1054037.6563578274,0.5959873595118642,0.9,rmse,1004.2280596886076,1008473.9958659456,1004.2280596886076,0.9348944882330864,577.7412819791165,2609.2618412822994,0.9556751080785453,0.9113502161570909,0.913785781191492,0.15772072069792029,1.1708391578996236,"[2490, 2904]","[2578.7940936874083, 2815.2059063125917]",0,0,1.1662650602409639,1.0916753350738209,127759.78350026817,880714.2123656777,1008473.9958659456,0.6160063147896973,0.9,,,,,,,
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A5_gmm_posterior,A5_gmm_posterior,completed,0.5,8000,,,2000,5394,2,,,,,rmse,1030.1071137758595,1061120.6658516317,1030.1071137758595,0.9300646311161384,592.9561739149655,2684.5290432752267,0.9517019978374283,0.9034039956748565,0.9137856997969289,0.16774736585551564,1.1826377982159013,"[879, 1121]","[914.3447885438511, 1085.655211456149]",0,0,1.2753128555176336,1.1873586693539533,118588.72715370293,942531.9386979287,1061120.6658516317,0.6175972820481852,0.9,rmse,1005.4048509638179,1010838.9143415769,1005.4048509638179,0.9347418127766302,574.7273884735368,2622.388603755496,0.9487789990073212,0.8975579980146423,0.9137856535822894,0.17344576877076787,1.1893961826035275,"[2323, 3071]","[2416.1210974063843, 2977.8789025936157]",0,0,1.3219974171330175,1.232503994021764,130124.70197589925,880714.2123656777,1010838.9143415769,0.6391538442069682,0.9,,,,,,,
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A6_cosine_negative_control,A6_cosine_negative_control,completed,0.1,8000,,,2000,5394,2,,,,,rmse,1026.1804902595713,1053046.3985893743,1026.1804902595713,0.930596782527024,595.3316697789929,2670.710007670508,0.9467739798311744,0.8935479596623488,0.9137824056538492,0.17512426681887408,1.1913942581883297,"[946, 1054]","[978.8867487289384, 1021.1132512710616]",0,0,1.1141649048625792,1.0431372705749191,110514.45989144544,942531.9386979287,1053046.3985893743,0.619369333701715,0.9,rmse,1002.9087065901365,1005825.8737543005,1002.9087065901365,0.9350654468755567,578.5103387941748,2605.868112207273,0.9425102090987734,0.8850204181975466,0.9137825529822295,0.1813371189269319,1.1988192558395607,"[2521, 2873]","[2604.8313687374457, 2789.168631262555]",0,0,1.1396271320904403,1.0707674457308372,125111.66138862299,880714.2123656777,1005825.8737543005,0.6354493116615102,0.9,,,,,,,
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,A9_tail_guarded_cross_fitted_selected,A2_median_scaled_euclidean,completed,0.1,8000,,,2000,5394,2,,,,,rmse,1026.6633607750045,1054037.6563578274,1026.6633607750045,0.9305314516179891,594.2318481954851,2672.0753604910883,0.958855116175506,0.9177102323510119,0.9137857811914931,0.15221407367868986,1.1644094791737132,"[938, 1062]","[969.2729091052388, 1030.7270908947612]",0,0,1.1321961620469083,1.0634023516103968,111505.71765989855,942531.9386979287,1054037.6563578274,0.5959873595118642,0.9,rmse,1004.2280596886076,1008473.9958659456,1004.2280596886076,0.9348944882330864,577.7412819791165,2609.2618412822994,0.9556751080785453,0.9113502161570909,0.913785781191492,0.15772072069792029,1.1708391578996236,"[2490, 2904]","[2578.7940936874083, 2815.2059063125917]",0,0,1.1662650602409639,1.0916753350738209,127759.78350026817,880714.2123656777,1008473.9958659456,0.6160063147896973,0.9,,,no_candidate_passed_cross_fitted_gates,,,fallback_to_a2,A2_median_scaled_euclidean
