dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,selection_status,selected_arm_name,arm_name,paired_fold_count,primary_metric,robust_metric,mean_relative_gain,median_relative_gain,positive_fold_fraction,robust_mean_relative_gain,robust_median_relative_gain,robust_positive_fold_fraction,tail_metric,tail_quantile,tail_mean_relative_gain,tail_median_relative_gain,tail_positive_fold_fraction,eligible,rejection_reasons,confidence_lower,confidence_upper,robust_confidence_lower,robust_confidence_upper,tail_confidence_lower,tail_confidence_upper
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,fallback_to_a2,A2_median_scaled_euclidean,A5_gmm_posterior,5,rmse,mae,-0.006045821450931648,-0.0022754448890562762,0.2,-0.002119012781871313,-0.002615201835334076,0.4,tail_mean_absolute_error,0.9,-0.007901778411054744,-0.0043681758347450085,0.2,False,"['mean_gain_below_threshold', 'median_gain_below_threshold', 'unstable_primary_gain_sign', 'primary_confidence_interval_exceeds_harm_margin', 'robust_confidence_interval_exceeds_harm_margin', 'tail_mean_exceeds_harm_margin', 'tail_confidence_interval_exceeds_harm_margin']",-0.013094078589104201,0.0012124560849594676,-0.015288880830748036,0.010158371734082234,-0.015118410394295994,-0.001245403832808593
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,fallback_to_a2,A2_median_scaled_euclidean,A6_cosine_negative_control,5,rmse,mae,0.00020847671160725197,-0.00015411615459613362,0.4,-0.002023451051650333,-0.0005255180818460281,0.2,tail_mean_absolute_error,0.9,0.00042903958981781556,0.0001247376685073725,1.0,False,"['median_gain_below_threshold', 'unstable_primary_gain_sign', 'robust_confidence_interval_exceeds_harm_margin']",-0.0004145850892237384,0.0008315385124382423,-0.005166152620617433,0.000953897695228356,3.908710125944267e-05,0.0009145581557872667
