dataset,budget_ratio,arm_name,runs,mean_gain,median_gain,worst_gain,win_rate,mean_primary_value,mean_degradation_vs_full,mean_fit_seconds,mean_inference_seconds,mean_tree_count,mean_max_depth,mean_tail_gain,mean_brier_gain,mean_ece_gain,mean_f1_macro_gain,mean_worst_class_recall_gain,mean_shap_stability
bank-marketing__task_359982,0.1,B0_standard_A9,1,0.0,0.0,0.0,0.0,0.8617760665285232,0.06474847050391119,10.186092599999995,0.05438180000000159,200.0,16.0,,0.0,0.0,0.0,0.0,0.8224798937685812
bank-marketing__task_359982,0.1,B1_bulk_single_spike,1,0.004391427909995582,0.004391427909995582,0.004391427909995582,1.0,0.8661674944385188,0.06035704259391561,10.200834100000009,0.027807199999983823,100.0,18.0,,-0.04583926654954593,-0.009987307051766495,0.006908813440647532,0.01701323251417769,
bank-marketing__task_359982,0.1,B2_bulk_multi_spike,1,0.004391427909995582,0.004391427909995582,0.004391427909995582,1.0,0.8661674944385188,0.06035704259391561,10.497426399999995,0.028145199999983106,100.0,18.0,,-0.04583926654954593,-0.009987307051766495,0.006908813440647532,0.01701323251417769,
bank-marketing__task_359982,0.1,B3_validation_selected,1,0.0,0.0,0.0,0.0,0.8617760665285232,0.06474847050391119,10.186092599999995,0.05438180000000159,200.0,16.0,,0.0,0.0,0.0,0.0,0.8224798937685812
diamonds__task_233211,0.1,B0_standard_A9,1,0.0,0.0,0.0,0.0,1116.3747602756891,1.0036797478078476,9.608641000000006,0.034802399999989575,200.0,14.0,0.0,,,,,0.7164719115137237
diamonds__task_233211,0.1,B1_bulk_single_spike,1,-0.06217421727476742,-0.06217421727476742,-0.06217421727476742,0.0,1185.7844871811362,1.128256967797104,9.663484299999993,0.02981470000000286,200.0,11.0,-0.121186650438053,,,,,0.7645443731349049
diamonds__task_233211,0.1,B2_bulk_multi_spike,1,-0.06217421727476742,-0.06217421727476742,-0.06217421727476742,0.0,1185.7844871811362,1.128256967797104,9.956989100000015,0.02948700000001736,200.0,11.0,-0.121186650438053,,,,,0.7645443731349049
diamonds__task_233211,0.1,B3_validation_selected,1,0.0,0.0,0.0,0.0,1116.3747602756891,1.0036797478078476,9.608641000000006,0.034802399999989575,200.0,14.0,0.0,,,,,0.7164719115137237
