dataset,budget_ratio,arm_name,runs,mean_gain,median_gain,worst_gain,win_rate,mean_primary_value,mean_degradation_vs_full,mean_fit_seconds,mean_inference_seconds,mean_tree_count,mean_max_depth,mean_tail_gain,mean_brier_gain,mean_ece_gain,mean_f1_macro_gain,mean_worst_class_recall_gain,mean_shap_stability
synthetic_multiclass_topology,0.2,B0_standard_A9,1,0.0,0.0,0.0,0.0,0.5371519219991783,0.8186838726371441,0.3719172000000004,0.00723909999999961,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_multiclass_topology,0.2,B1_bulk_single_spike,1,0.2185197042262793,0.2185197042262793,0.2185197042262793,1.0,0.4197736428793404,0.4212656107073712,0.36423750000000066,0.0026421000000000916,0.0,0.0,,0.16675322678061938,-0.022121538750055333,0.025534144165580308,0.025000000000000022,
synthetic_multiclass_topology,0.2,B2_bulk_multi_spike,1,0.2185197042262793,0.2185197042262793,0.2185197042262793,1.0,0.4197736428793404,0.4212656107073712,0.37021890000000024,0.002793699999999788,0.0,0.0,,0.16675322678061938,-0.022121538750055333,0.025534144165580308,0.025000000000000022,
synthetic_multiclass_topology,0.2,B3_validation_selected,1,0.0,0.0,0.0,0.0,0.5371519219991783,0.8186838726371441,0.3719172000000004,0.00723909999999961,0.0,0.0,,0.0,0.0,0.0,0.0,
synthetic_rmt_regression_smoke,0.2,B0_standard_A9,1,0.0,0.0,0.0,0.0,15.026625396097142,0.12391721700536407,0.5534969999999997,0.005048799999999964,0.0,0.0,0.0,,,,,
synthetic_rmt_regression_smoke,0.2,B1_bulk_single_spike,1,-0.1882261696658408,-0.1882261696658408,-0.1882261696658408,0.0,17.855029537407955,0.3354678497837753,0.10335230000000006,0.0027020000000002042,0.0,0.0,-0.28524171442008467,,,,,
synthetic_rmt_regression_smoke,0.2,B2_bulk_multi_spike,1,-0.1882261696658408,-0.1882261696658408,-0.1882261696658408,0.0,17.855029537407955,0.3354678497837753,0.11643379999999981,0.0026565000000000616,0.0,0.0,-0.28524171442008467,,,,,
synthetic_rmt_regression_smoke,0.2,B3_validation_selected,1,0.0,0.0,0.0,0.0,15.026625396097142,0.12391721700536407,0.5534969999999997,0.005048799999999964,0.0,0.0,0.0,,,,,
