dataset,task_id,task_name,suite_id,problem_type,seed,budget_ratio,model,n_train,n_validation,n_test,selection_status,selected_arm_name,arm_name,paired_fold_count,primary_metric,robust_metric,mean_relative_gain,median_relative_gain,positive_fold_fraction,robust_mean_relative_gain,robust_median_relative_gain,robust_positive_fold_fraction,tail_metric,tail_quantile,tail_mean_relative_gain,tail_median_relative_gain,tail_positive_fold_fraction,eligible,rejection_reasons,confidence_lower,confidence_upper,robust_confidence_lower,robust_confidence_upper,tail_confidence_lower,tail_confidence_upper
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,selected,A6_cosine_negative_control,A5_gmm_posterior,5,rmse,mae,-0.011308718020042042,-0.010226494301495512,0.0,-0.01672536398980787,-0.015573185228665918,0.0,tail_mean_absolute_error,0.9,-0.01210977636059303,-0.009587157816781128,0.0,False,"['mean_gain_below_threshold', 'median_gain_below_threshold', 'unstable_primary_gain_sign', 'primary_confidence_interval_exceeds_harm_margin', 'robust_mean_exceeds_harm_margin', 'robust_median_exceeds_harm_margin', 'robust_confidence_interval_exceeds_harm_margin', 'tail_mean_exceeds_harm_margin', 'tail_median_exceeds_harm_margin', 'tail_confidence_interval_exceeds_harm_margin']",-0.016872449317105607,-0.007364187076788348,-0.022376579194897866,-0.012428152609532655,-0.02066450230203728,-0.005117123541595085
diamonds__task_233211,233211,diamonds,269,regression,11,0.1,lightgbm,8000,2000,5394,selected,A6_cosine_negative_control,A6_cosine_negative_control,5,rmse,mae,0.0008324940514441946,0.00045008151503136187,1.0,0.0010933520376809123,-0.00010125877272600318,0.4,tail_mean_absolute_error,0.9,0.000556554999019433,-4.787766528816643e-05,0.4,True,[],0.00015674938516091195,0.0018934654002320285,-0.0012741738214589577,0.004539228182488678,-0.00023066391553378616,0.0017301089549975623
